growth1 oneseas 3.30.24.1 
Morph	Yr	Seas	SubSeas	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1	1990	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.456	65.6559	66.6915	67.5854	68.3568	69.0227	69.5974	70.0934	70.5215	70.891	71.2099	71.4851	71.7227	71.9278	72.1047	72.2575	72.3893	72.5031	72.6013	72.6861	72.7592	72.8224	72.8768	72.9239	72.9645	72.9995	73.0298	73.0559	73.1586
1	1990	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.0838	66.1985	67.1606	67.991	68.7078	69.3264	69.8603	70.3211	70.7188	71.0621	71.3583	71.6141	71.8348	72.0253	72.1897	72.3316	72.454	72.5598	72.651	72.7297	72.7977	72.8564	72.907	72.9507	72.9884	73.021	73.0491	73.0733	73.1687
1	1991	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.667	66.7026	67.5965	68.3679	69.0338	69.6085	70.1045	70.5326	70.9021	71.221	71.4963	71.7338	71.9389	72.1158	72.2686	72.4004	72.5142	72.6124	72.6972	72.7703	72.8335	72.888	72.935	72.9756	73.0106	73.0409	73.067	73.1696
1	1991	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2088	67.171	68.0014	68.7181	69.3367	69.8706	70.3314	70.7291	71.0724	71.3687	71.6244	71.8451	72.0356	72.2	72.3419	72.4644	72.5701	72.6613	72.7401	72.808	72.8667	72.9173	72.961	72.9987	73.0313	73.0594	73.0836	73.1789
1	1992	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7122	67.6061	68.3775	69.0434	69.6181	70.1141	70.5422	70.9117	71.2306	71.5058	71.7434	71.9485	72.1254	72.2782	72.41	72.5238	72.622	72.7068	72.7799	72.8431	72.8976	72.9446	72.9852	73.0202	73.0505	73.0766	73.1791
1	1992	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1799	68.0103	68.727	69.3456	69.8795	70.3403	70.738	71.0813	71.3776	71.6333	71.854	72.0445	72.2089	72.3508	72.4733	72.579	72.6702	72.749	72.8169	72.8756	72.9262	72.9699	73.0076	73.0402	73.0683	73.0925	73.1878
1	1993	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6143	68.3858	69.0517	69.6263	70.1224	70.5505	70.92	71.2389	71.5141	71.7517	71.9567	72.1337	72.2864	72.4183	72.5321	72.6303	72.715	72.7882	72.8513	72.9058	72.9529	72.9935	73.0285	73.0587	73.0848	73.1873
1	1993	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.018	68.7347	69.3533	69.8872	70.348	70.7457	71.089	71.3853	71.641	71.8617	72.0522	72.2166	72.3585	72.481	72.5867	72.6779	72.7567	72.8246	72.8833	72.9339	72.9776	73.0153	73.0479	73.076	73.1002	73.1953
1	1994	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.3929	69.0588	69.6335	70.1295	70.5576	70.9271	71.246	71.5213	71.7588	71.9639	72.1408	72.2936	72.4254	72.5392	72.6374	72.7222	72.7953	72.8585	72.913	72.96	73.0006	73.0356	73.0659	73.092	73.1943
1	1994	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.7413	69.3599	69.8938	70.3546	70.7523	71.0956	71.3919	71.6476	71.8683	72.0588	72.2232	72.3651	72.4876	72.5933	72.6846	72.7633	72.8313	72.8899	72.9406	72.9843	73.022	73.0545	73.0826	73.1069	73.2018
1	1995	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.4044	69.065	69.6397	70.1357	70.5638	70.9333	71.2522	71.5274	71.765	71.97	72.147	72.2998	72.4316	72.5454	72.6436	72.7283	72.8015	72.8646	72.9191	72.9662	73.0068	73.0418	73.0721	73.0982	73.2003
1	1995	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.752	69.3656	69.8995	70.3604	70.7581	71.1014	71.3976	71.6533	71.8741	72.0645	72.229	72.3709	72.4933	72.599	72.6903	72.769	72.837	72.8957	72.9463	72.99	73.0277	73.0602	73.0883	73.1126	73.2074
1	1996	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.4044	69.0749	69.645	70.141	70.5691	70.9386	71.2575	71.5328	71.7703	71.9754	72.1523	72.3051	72.4369	72.5507	72.6489	72.7337	72.8068	72.87	72.9245	72.9715	73.0121	73.0471	73.0774	73.1035	73.2054
1	1996	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.752	69.3749	69.9045	70.3653	70.763	71.1063	71.4026	71.6583	71.879	72.0695	72.2339	72.3758	72.4983	72.604	72.6952	72.774	72.8419	72.9006	72.9512	72.9949	73.0326	73.0652	73.0933	73.1175	73.2121
1	1997	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.4044	69.0749	69.6535	70.1456	70.5737	70.9432	71.2621	71.5373	71.7749	71.98	72.1569	72.3097	72.4415	72.5553	72.6535	72.7383	72.8114	72.8746	72.9291	72.9761	73.0167	73.0517	73.082	73.1081	73.2097
1	1997	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.752	69.3749	69.9124	70.3696	70.7673	71.1106	71.4068	71.6626	71.8833	72.0738	72.2382	72.3801	72.5025	72.6083	72.6995	72.7782	72.8462	72.9049	72.9555	72.9992	73.0369	73.0695	73.0976	73.1218	73.2161
1	1998	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.4044	69.0749	69.6535	70.153	70.5777	70.9472	71.2661	71.5413	71.7789	71.9839	72.1609	72.3136	72.4455	72.5593	72.6575	72.7422	72.8154	72.8785	72.933	72.9801	73.0207	73.0557	73.0859	73.112	73.2131
1	1998	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.752	69.3749	69.9124	70.3764	70.771	71.1142	71.4105	71.6662	71.8869	72.0774	72.2419	72.3838	72.5062	72.6119	72.7032	72.7819	72.8499	72.9085	72.9592	73.0029	73.0406	73.0731	73.1012	73.1255	73.2193
1	1999	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.4044	69.0749	69.6535	70.153	70.584	70.9506	71.2695	71.5447	71.7823	71.9873	72.1643	72.3171	72.4489	72.5627	72.6609	72.7456	72.8188	72.8819	72.9364	72.9835	73.0241	73.0591	73.0894	73.1155	73.2158
1	1999	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.752	69.3749	69.9124	70.3764	70.7769	71.1174	71.4137	71.6694	71.8901	72.0806	72.245	72.3869	72.5094	72.6151	72.7064	72.7851	72.8531	72.9117	72.9624	73.0061	73.0438	73.0763	73.1044	73.1287	73.2217
1	2000	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0769	64.4767	65.6849	66.7276	67.6276	68.4044	69.0749	69.6535	70.153	70.584	70.9561	71.2724	71.5477	71.7853	71.9903	72.1673	72.32	72.4518	72.5656	72.6638	72.7486	72.8218	72.8849	72.9394	72.9864	73.027	73.0621	73.0923	73.1184	73.2171
1	2000	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.8026	65.103	66.2254	67.1942	68.0303	68.752	69.3749	69.9124	70.3764	70.7769	71.1225	71.4164	71.6722	71.8929	72.0834	72.2478	72.3897	72.5122	72.6179	72.7091	72.7878	72.8558	72.9145	72.9651	73.0088	73.0465	73.0791	73.1072	73.1314	73.2229


growth1 oneseas test 
Morph	Yr	Seas	SubSeas	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1	1971	1	1	21.6597	28.6813	34.7416	39.9722	44.4867	48.3831	51.7461	54.6487	57.154	59.3162	61.1824	62.7932	64.1834	65.3833	66.4189	67.3127	68.0842	68.75	69.3247	69.8207	70.2488	70.6183	70.9372	71.2125	71.4501	71.6551	71.8321	71.9848	72.1166	72.2304	72.3286	72.4134	72.4866	72.5497	72.6042	72.6512	72.6918	72.7269	72.7571	72.7832	72.886
